0,1,2
2016/1/1 2:45,1.71,D
2016/1/1 6:55,3.34,G
2016/1/1 14:20,1.68,D
2016/1/1 19:10,3.59,G
2016/1/2 3:15,1.63,D
2016/1/2 7:55,3.1,G
2016/1/2 15:10,1.77,D
2016/1/2 20:00,3.4,G
2016/1/3 3:55,1.73,D
2016/1/3 9:00,3.24,G
2016/1/3 16:15,1.98,D
2016/1/3 20:45,3.08,G
2016/1/4 4:35,1.66,D
2016/1/4 10:30,3.24,G
2016/1/4 17:50,2.06,D
2016/1/4 22:15,3.15,G
2016/1/5 6:00,1.92,D
2016/1/5 11:45,3.78,G
2016/1/5 19:35,2.15,D
2016/1/5 23:50,3.19,G
2016/1/6 7:20,1.82,D
2016/1/6 12:50,3.65,G
2016/1/6 20:35,1.81,D
2016/1/7 0:50,3.25,G
2016/1/7 8:25,1.58,D
2016/1/7 13:40,3.67,G
2016/1/7 21:30,1.57,D
2016/1/8 1:40,3.18,G
2016/1/8 9:20,1.38,D
2016/1/8 14:15,3.67,G
2016/1/8 22:10,1.47,D
2016/1/9 2:20,3.37,G
2016/1/9 10:00,1.39,D
2016/1/9 14:50,3.99,G
2016/1/9 23:00,1.5,D
2016/1/10 2:55,3.57,G
2016/1/10 10:55,1.42,D
2016/1/10 15:30,4.27,G
2016/1/10 23:40,1.51,D
2016/1/11 3:25,3.72,G
2016/1/11 11:30,1.46,D
2016/1/11 15:30,4.57,G
2016/1/12 0:15,1.69,D
2016/1/12 4:00,4.04,G
2016/1/12 12:20,1.47,D
2016/1/12 16:25,4.3,G
2016/1/13 1:10,1.37,D
2016/1/13 4:50,3.59,G
2016/1/13 13:05,1.25,D
2016/1/13 17:20,4.03,G
2016/1/14 1:45,1.31,D
2016/1/14 5:35,3.55,G
2016/1/14 13:45,1.31,D
2016/1/14 18:10,3.99,G
2016/1/15 2:25,1.42,D
2016/1/15 6:25,3.62,G
2016/1/15 14:15,1.45,D
2016/1/15 18:40,3.98,G
2016/1/16 3:00,1.53,D
2016/1/16 7:20,3.68,G
2016/1/16 14:40,1.67,D
2016/1/16 19:35,3.88,G
2016/1/17 3:35,1.66,D
2016/1/17 8:10,3.65,G
2016/1/17 15:40,1.82,D
2016/1/17 20:15,3.61,G
2016/1/18 4:40,1.72,D
2016/1/18 9:30,3.68,G
2016/1/18 17:25,1.91,D
2016/1/18 21:25,3.27,G
2016/1/19 5:50,1.55,D
2016/1/19 10:50,3.35,G
2016/1/19 18:45,1.62,D
2016/1/19 23:15,2.88,G
2016/1/20 7:00,1.32,D
2016/1/20 12:30,3.44,G
2016/1/20 20:00,1.53,D
2016/1/21 0:40,3.11,G
2016/1/21 7:55,1.49,D
2016/1/21 13:15,3.95,G
2016/1/21 21:15,1.72,D
2016/1/22 1:40,3.6,G
2016/1/22 9:10,1.72,D
2016/1/22 14:05,4.21,G
2016/1/22 22:20,1.69,D
2016/1/23 2:20,3.65,G
2016/1/23 10:30,1.33,D
2016/1/23 14:35,3.98,G
2016/1/23 23:20,1.3,D
2016/1/24 2:50,3.25,G
2016/1/24 11:35,0.95,D
2016/1/24 15:20,3.23,G
2016/1/24 23:45,0.96,D
2016/1/25 3:35,3.08,G
2016/1/25 11:50,0.94,D
2016/1/25 16:05,3.48,G
2016/1/26 0:30,1,D
2016/1/26 4:40,3.22,G
2016/1/26 12:10,1.09,D
2016/1/26 16:30,4,G
2016/1/27 0:55,1.36,D
2016/1/27 4:40,3.71,G
2016/1/27 12:45,1.41,D
2016/1/27 16:45,4.1,G
2016/1/28 1:25,1.43,D
2016/1/28 5:20,3.65,G
2016/1/28 13:15,1.43,D
2016/1/28 17:35,4,G
2016/1/29 1:45,1.53,D
2016/1/29 5:50,3.8,G
2016/1/29 13:25,1.68,D
2016/1/29 17:50,4.2,G
2016/1/30 2:10,1.71,D
2016/1/30 6:35,3.75,G
2016/1/30 14:10,1.77,D
2016/1/30 18:25,3.82,G
2016/1/31 2:35,1.59,D
2016/1/31 7:00,3.55,G
2016/1/31 14:25,1.72,D
2016/1/31 19:05,3.47,G
2016/2/1 3:15,1.54,D
2016/2/1 7:45,3.17,G
2016/2/1 15:15,1.69,D
2016/2/1 19:40,3.1,G
2016/2/2 3:40,1.53,D
