,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,01.png,lamp1,66,371,30,25
1,1,01.png,lamp1,129,371,31,24
2,2,01.png,lamp1,204,369,34,28
3,3,01.png,lamp1,297,370,34,30
4,4,01.png,lamp1,410,371,41,36
5,5,01.png,lamp1,568,369,47,40
6,6,01.png,lamp1,137,338,25,24
7,7,01.png,lamp1,198,336,26,21
8,8,01.png,lamp1,269,332,28,22
9,9,01.png,lamp1,352,329,30,26
10,10,01.png,lamp1,454,325,34,29
11,11,01.png,lamp1,584,320,41,33
12,12,01.png,lamp1,191,313,24,20
13,13,01.png,lamp1,249,309,22,20
14,14,01.png,lamp1,315,304,24,21
15,15,01.png,lamp1,393,299,27,23
16,16,01.png,lamp1,483,292,29,25
17,17,01.png,lamp1,594,284,37,28
