,Unnamed: 0.1,Unnamed: 0,name,class,Cx,Cy,w,h
0,0,0,05.png,lamp1,580,380,29,24
1,1,1,05.png,lamp1,515,378,30,27
2,2,2,05.png,lamp1,439,370,31,28
3,3,3,05.png,lamp1,345,367,34,30
4,4,4,05.png,lamp1,231,361,38,35
5,5,5,05.png,lamp1,72,351,45,38
6,6,6,05.png,lamp1,510,341,24,19
7,7,7,05.png,lamp1,449,336,26,21
8,8,8,05.png,lamp1,377,328,27,24
9,9,9,05.png,lamp1,293,321,30,26
10,10,10,05.png,lamp1,191,311,33,27
11,11,11,05.png,lamp1,62,298,38,31
12,12,12,05.png,lamp1,457,312,23,19
13,13,13,05.png,lamp1,398,305,22,20
14,14,14,05.png,lamp1,331,296,25,21
15,15,15,05.png,lamp1,254,287,27,24
16,16,16,05.png,lamp1,165,275,30,25
17,17,17,05.png,lamp1,55,261,34,28
